_id,Ngày,Quốc gia,Thành phố,Phân loại,Count,Min,Max,Meidan,Variance
1244,2020-05-10T00:00:00,VN,Hạ Long,pressure,8,994.6,998.8,996.3,18.11
1245,2020-01-24T00:00:00,VN,Hồ Chí Minh,humidity,24,30,78,56,2763.26
1246,2020-06-06T00:00:00,VN,Hạ Long,pressure,8,988.6,991.4,990.5,9.8
1247,2020-05-14T00:00:00,VN,Hồ Chí Minh,humidity,24,38,83,66,2304.33
1248,2020-09-12T00:00:00,VN,Hạ Long,pressure,8,1001.1,1006,1003.3,29.34
1249,2020-09-27T00:00:00,VN,Hồ Chí Minh,humidity,24,74,100,97,881.26
1250,2021-10-01T00:00:00,VN,Hạ Long,pressure,8,1007.1,1012.5,1009.5,29.29
1251,2020-02-29T00:00:00,VN,Hạ Long,pressure,8,997.6,1001.9,999.8,18.79
1252,2020-09-22T00:00:00,VN,Hồ Chí Minh,humidity,24,57.5,100,85.5,2141.72
1253,2020-04-04T00:00:00,VN,Hạ Long,pressure,8,1000.2,1004.4,1002.3,20.56
1254,2020-11-13T00:00:00,VN,Hồ Chí Minh,humidity,24,64,100,76,1599.06
1255,2020-08-10T00:00:00,VN,Hạ Long,pressure,8,999.5,1003,1000.6,15.59
1256,2020-12-13T00:00:00,VN,Hồ Chí Minh,humidity,24,72,100,83,974.52
1257,2021-07-01T00:00:00,VN,Hạ Long,pressure,8,1003.7,1007.9,1005,25.53
1258,2021-06-01T00:00:00,VN,Hồ Chí Minh,humidity,24,48,83,73,1321.29
1259,2020-01-18T00:00:00,VN,Hồ Chí Minh,humidity,24,49,94,67.5,1824.42
1260,2020-12-16T00:00:00,VN,Hạ Long,pressure,8,1007.3,1012.1,1009,18.49
1261,2020-03-31T00:00:00,VN,Hồ Chí Minh,humidity,24,42.5,88,72,2816.45
1262,2020-01-07T00:00:00,VN,Hồ Chí Minh,humidity,24,60,100,85.5,1593.84
1263,2021-04-01T00:00:00,VN,Hạ Long,pressure,8,1005.3,1009.7,1006.6,23.11
1264,2020-05-25T00:00:00,VN,Hồ Chí Minh,humidity,24,49,100,94,2575.65
1265,2020-07-24T00:00:00,VN,Hồ Chí Minh,humidity,24,57,100,94,1298.8
1266,2020-07-05T00:00:00,VN,Hạ Long,pressure,8,990.3,994,992.3,20.11
1267,2020-05-31T00:00:00,VN,Hạ Long,pressure,8,991.6,996.2,995,24.8
1268,2020-08-18T00:00:00,VN,Hồ Chí Minh,humidity,24,52,94,79,2078.47
1269,2020-06-22T00:00:00,VN,Hạ Long,pressure,8,988.4,991.2,989.2,8.54
1270,2020-08-19T00:00:00,VN,Hồ Chí Minh,humidity,24,66,100,91,1239.89
1271,2020-08-13T00:00:00,VN,Hạ Long,pressure,8,991.1,994.6,992.9,13.42
1272,2020-12-19T00:00:00,VN,Hồ Chí Minh,humidity,24,52,80.5,65,970.71
1273,2020-01-23T00:00:00,VN,Hạ Long,pressure,8,998.9,1003.9,1000.8,22.71
1274,2020-03-21T00:00:00,VN,Hồ Chí Minh,humidity,24,34,88,74,3713.89
1275,2020-06-15T00:00:00,VN,Hạ Long,pressure,7,992.3,995.4,993.7,12.48
1276,2020-03-24T00:00:00,VN,Hồ Chí Minh,humidity,24,37,83,71.5,2813.58
1277,2020-12-04T00:00:00,VN,Hồ Chí Minh,humidity,24,52,83,78,1093.11
1278,2020-04-27T00:00:00,VN,Hồ Chí Minh,humidity,24,41,100,78,4173.24
1279,2020-04-29T00:00:00,VN,Hồ Chí Minh,humidity,24,31,83,58.5,2623.46
1280,2020-12-29T00:00:00,VN,Hạ Long,pressure,8,998.5,1003.5,1000.2,30
1281,2020-07-26T00:00:00,VN,Hồ Chí Minh,humidity,24,59,100,79,2133.26
1282,2020-07-29T00:00:00,VN,Hạ Long,pressure,8,990.9,994.1,992.4,12.56
1283,2020-10-05T00:00:00,VN,Hồ Chí Minh,humidity,24,40,83,74,2199.35
1284,2020-10-30T00:00:00,VN,Hạ Long,pressure,8,1002.5,1006,1003.5,15.96
